,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Brighton,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Huddersfield,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Brighton,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Huddersfield,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
202,2018-01-13,1,2.79,3.48,3.01,0.358,0.287,0.332,49.35,57.71,22,19,3,2,28,19,40,30,61,70,160,73,64,66,6.66,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
203,2018-01-13,0,2.17,3.2,4.33,0.461,0.312,0.231,39.95,47.76,15,19,2,5,14,16,28,27,63,56,130,42,52,54,6.61,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2018-01-14,0,4.8,4.22,2.08,0.208,0.237,0.481,52.22,63.49,18,36,5,7,21,39,34,28,82,134,147,59,73,105,6.6,6.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2018-01-14,0,3.22,3.75,2.34,0.311,0.267,0.427,63.68,70.73,43,59,13,13,49,63,24,13,142,157,200,67,100,84,7.01,7.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,2018-01-15,0,1.25,7.22,15.8,0.8,0.139,0.063,48.7,41.51,44,20,9,4,41,22,15,44,101,69,141,46,98,56,7.01,6.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,2018-01-20,0,1.5,4.97,7.85,0.667,0.201,0.127,55.43,48.36,36,25,6,8,40,21,30,32,137,84,162,84,109,85,6.9,6.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2018-01-20,2,7.0,3.9,1.65,0.143,0.256,0.606,48.51,55.42,19,44,5,9,16,38,29,15,57,133,144,62,59,98,6.66,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2018-01-20,2,7.5,4.05,1.6,0.133,0.247,0.625,44.95,55.82,31,47,2,9,18,44,20,15,69,110,133,61,53,103,6.79,7.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,2018-01-20,1,2.59,3.3,4.0,0.386,0.303,0.25,43.14,39.03,24,18,2,5,24,16,38,28,62,67,132,60,54,57,6.64,6.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,2018-01-20,0,1.9,3.91,5.05,0.526,0.256,0.198,45.34,51.77,28,23,5,4,31,30,30,42,75,65,134,70,69,66,6.76,6.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
