,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_West Brom,A_West Ham
107,2014-02-12,0,1.61,4.7,8.65,0.621,0.213,0.116,53.73,59.46,19,11,10,4,18,10,15,14,52,39,101,48,48,53,6.9,6.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,2014-02-12,2,2.55,3.4,3.21,0.392,0.294,0.312,47.48,41.86,13,15,5,8,13,18,16,16,37,50,91,27,38,49,6.72,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2014-03-12,0,1.8,3.86,5.07,0.556,0.259,0.197,59.26,57.58,20,20,9,10,21,18,15,8,74,52,107,39,69,39,6.99,6.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,2014-03-12,0,1.46,5.0,9.0,0.685,0.2,0.111,54.91,53.5,30,17,11,9,28,13,10,16,71,50,91,22,55,44,7.13,6.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,2014-03-12,1,1.55,4.42,7.8,0.645,0.226,0.128,53.9,42.92,17,7,8,1,23,11,21,18,64,31,76,27,49,25,6.85,6.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,2014-03-12,2,7.5,4.87,1.53,0.133,0.205,0.654,49.53,59.45,14,23,6,12,12,23,18,11,40,70,90,33,38,55,6.73,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,2014-06-12,1,2.5,3.3,3.33,0.4,0.303,0.3,41.15,54.01,8,13,1,4,12,14,19,18,32,42,71,40,28,46,6.75,6.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,2014-06-12,1,1.6,4.68,8.0,0.625,0.214,0.125,54.18,40.75,17,14,7,6,16,13,16,22,52,42,88,30,60,43,6.85,6.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,2014-06-12,0,1.57,5.02,7.6,0.637,0.199,0.132,59.21,60.53,26,18,12,6,27,24,12,22,74,69,115,35,56,52,7.06,6.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,2014-06-12,0,4.2,3.6,2.16,0.238,0.278,0.463,53.5,63.33,11,23,4,9,11,22,16,15,43,82,121,48,53,73,6.81,7.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
