,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Middlesbrough,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Middlesbrough,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
65,2016-01-10,1,2.3,3.52,4.26,0.435,0.284,0.235,50.14,48.3,3,5,3,4,7,6,16,9,17,13,52,13,27,17,6.67,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,2016-02-10,2,10.17,5.38,1.4,0.098,0.186,0.714,45.16,52.3,7,13,7,13,5,15,8,7,13,32,35,15,16,28,6.74,7.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2016-02-10,1,2.52,3.4,3.63,0.397,0.294,0.275,47.38,60.37,7,8,7,7,8,7,11,6,24,34,42,24,27,25,6.64,6.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,2016-02-10,1,1.35,5.8,12.0,0.741,0.172,0.083,52.04,46.13,12,2,9,1,12,4,7,15,33,13,62,14,21,21,6.99,6.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,2016-02-10,0,3.35,3.54,2.5,0.299,0.282,0.4,59.12,69.4,14,18,13,15,10,18,3,5,35,36,63,22,35,29,7.01,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,2016-10-15,0,1.29,7.0,14.5,0.775,0.143,0.069,54.73,45.92,16,4,15,1,16,6,7,12,35,28,51,26,35,15,7.1,6.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,2016-10-15,0,1.85,3.81,5.05,0.541,0.262,0.198,47.55,41.95,8,7,8,1,6,7,11,14,21,19,40,16,19,14,6.65,6.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2016-10-15,0,1.6,4.5,6.76,0.625,0.222,0.148,52.25,47.2,13,8,7,7,12,8,9,11,42,25,62,15,32,30,6.89,6.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2016-10-15,2,2.23,3.6,3.75,0.448,0.278,0.267,50.4,47.52,11,4,11,1,11,8,8,17,29,19,62,38,30,33,6.95,6.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,2016-10-15,1,1.52,4.8,7.2,0.658,0.208,0.139,62.22,51.55,18,14,12,10,18,11,7,5,42,42,63,21,32,21,7.08,6.98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2016-10-15,0,2.1,3.61,4.36,0.476,0.277,0.229,39.98,45.18,3,2,2,2,5,6,16,13,19,20,41,15,21,23,6.56,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,2016-10-15,1,5.55,3.95,1.75,0.18,0.253,0.571,44.25,55.55,9,17,6,13,8,12,7,3,27,42,52,33,19,37,6.71,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,2016-10-16,2,2.33,3.3,3.67,0.429,0.303,0.272,49.88,42.7,6,8,2,7,7,12,10,13,16,31,37,16,19,19,6.74,6.73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,2016-10-16,0,1.4,5.3,10.85,0.714,0.189,0.092,53.19,36.48,9,7,8,4,7,5,6,9,39,14,53,21,28,19,6.79,6.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2016-10-17,1,2.28,3.51,3.6,0.439,0.285,0.278,59.82,54.45,16,13,13,7,18,13,10,8,49,42,59,27,50,29,7.0,6.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,2016-10-22,1,1.27,6.5,15.0,0.787,0.154,0.067,55.69,52.2,19,6,15,1,19,7,9,11,41,19,55,20,38,19,7.09,6.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,2016-10-22,1,4.3,3.7,2.0,0.233,0.27,0.5,53.54,55.55,11,18,10,13,12,13,12,4,31,50,51,33,26,46,6.79,7.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,2016-10-22,0,6.25,3.87,1.75,0.16,0.258,0.571,42.2,51.55,7,15,4,8,6,12,12,6,15,44,53,21,20,21,6.71,6.97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2016-10-22,2,3.16,3.35,2.7,0.316,0.299,0.37,43.69,48.9,7,6,1,5,8,7,20,16,23,25,54,18,15,28,6.65,6.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,2016-10-22,0,2.06,3.5,4.38,0.485,0.286,0.228,44.92,58.35,8,11,4,10,8,11,14,9,25,32,57,29,32,31,6.6,6.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2016-10-22,0,1.31,6.26,13.0,0.763,0.16,0.077,54.18,33.17,17,10,13,6,18,9,10,8,52,31,63,16,53,20,6.96,6.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,2016-10-22,1,2.49,3.4,3.42,0.402,0.294,0.292,46.06,42.7,4,11,1,10,8,13,15,13,34,33,59,16,17,20,6.71,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,2016-10-22,0,1.75,4.07,5.75,0.571,0.246,0.174,42.08,45.18,7,2,4,1,9,6,17,15,23,21,70,15,36,29,6.75,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,2016-10-23,0,2.25,3.4,3.82,0.444,0.294,0.262,55.56,54.45,16,14,7,5,15,13,9,8,48,43,82,27,36,30,6.97,7.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,2016-10-23,1,1.5,4.63,8.25,0.667,0.216,0.121,60.93,61.42,19,12,10,10,19,10,8,7,50,53,70,33,38,39,7.04,6.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,2016-10-29,2,5.25,4.08,1.78,0.19,0.245,0.562,54.29,67.1,11,20,7,13,12,20,12,11,39,59,86,21,40,60,6.88,6.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,2016-10-29,1,1.26,7.0,19.0,0.794,0.143,0.053,50.03,36.22,14,10,5,6,13,8,12,13,48,18,73,25,35,23,6.94,6.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2016-10-29,0,2.6,3.2,3.29,0.385,0.312,0.304,48.85,50.32,7,12,2,8,7,12,11,12,23,32,50,22,23,30,6.74,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2016-10-29,2,9.0,5.25,1.44,0.111,0.19,0.694,45.22,56.1,2,20,1,13,6,19,16,9,23,47,50,25,33,39,6.53,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
