,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
129,2015-05-12,1,1.53,4.55,7.57,0.654,0.22,0.132,48.81,53.91,19,5,7,1,18,12,15,27,64,40,118,35,35,43,6.88,6.76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2015-05-12,0,5.5,4.06,1.74,0.182,0.246,0.575,50.13,58.41,18,26,9,8,11,24,14,13,42,84,92,44,24,70,6.73,7.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,2015-05-12,2,2.8,3.5,3.06,0.357,0.286,0.327,48.89,41.37,11,26,4,11,12,26,19,21,48,64,95,39,38,46,6.65,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,2015-05-12,0,2.35,3.5,3.7,0.426,0.286,0.27,44.4,49.93,16,13,9,4,13,15,15,19,44,50,83,51,54,35,6.79,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,2015-05-12,1,4.8,3.86,1.91,0.208,0.259,0.524,44.47,53.69,18,25,7,11,13,24,18,11,42,91,87,34,25,65,6.74,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,2015-07-12,1,2.14,3.63,3.88,0.467,0.275,0.258,48.18,49.0,21,19,8,4,27,14,19,13,67,60,85,38,47,38,6.93,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2015-12-12,0,3.5,3.4,2.43,0.286,0.294,0.412,54.47,60.15,13,28,5,9,18,20,29,10,57,46,96,26,50,44,6.67,6.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,2015-12-12,0,2.6,3.41,3.14,0.385,0.293,0.318,47.06,52.28,20,20,5,7,15,19,14,16,65,69,103,70,39,41,6.83,6.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,2015-12-12,0,1.35,6.0,11.5,0.741,0.167,0.087,56.75,48.43,26,11,7,1,24,12,15,22,88,50,110,36,71,38,6.96,6.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,2015-12-12,1,3.16,3.56,2.55,0.316,0.281,0.392,47.36,54.81,13,22,4,9,15,28,21,20,51,71,101,38,37,54,6.64,6.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
